steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
78,1,77.0,78,77.0,77.0,77.0
140,2,138.0,62,61.0,138.0,77.0
208,3,205.0,68,67.0,205.0,77.0
261,4,257.0,53,52.0,257.0,77.0
319,5,314.0,58,57.0,314.0,77.0
404,6,398.0,85,84.0,398.0,84.0
444,7,437.0,40,39.0,437.0,84.0
545,8,537.0,101,100.0,537.0,100.0
619,9,610.0,74,73.0,610.0,100.0
734,10,724.0,115,114.0,724.0,114.0
895,12,883.0,99,98.0,883.0,114.0
1027,14,1013.0,58,57.0,1013.0,114.0
1283,17,1266.0,55,54.0,1266.0,134.0
1521,20,1501.0,67,66.0,1501.0,134.0
1859,25,1834.0,89,88.0,1834.0,134.0
2256,30,2226.0,73,72.0,2226.0,134.0
3115,40,3075.0,68,67.0,3075.0,134.0
3874,50,3824.0,88,87.0,3824.0,134.0
5091,60,5031.0,94,93.0,5031.0,241.0
6141,70,6071.0,85,84.0,6071.0,241.0
7358,80,7278.0,237,236.0,7278.0,241.0
9005,90,8915.0,170,169.0,8915.0,292.0
10234,100,10134.0,274,273.0,10134.0,292.0
12868,120,12748.0,103,102.0,12748.0,292.0
16334,140,16194.0,152,151.0,16194.0,321.0
22671,170,22501.0,150,149.0,22501.0,425.0
28449,200,28249.0,145,144.0,28249.0,425.0
39793,250,39543.0,109,108.0,39543.0,603.0
49575,300,49275.0,450,449.0,49275.0,603.0
68990,400,68590.0,288,287.0,68590.0,603.0
87659,500,87159.0,180,179.0,87159.0,603.0
116734,600,116134.0,141,140.0,116134.0,704.0
120774,700,120074.0,39,38.0,120074.0,704.0
124952,800,124152.0,52,51.0,124152.0,704.0
145510,900,144612.0,354,353.0,144612.0,1001.0
157543,1000,156545.0,53,52.0,156545.0,1001.0
