steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
2,1,-1.0,2,-1.0,0,2.0
4,2,0.0,2,1.0,1,2.0
6,3,1.0,2,1.0,2,2.0
8,4,2.0,2,1.0,3,2.0
10,5,3.0,2,1.0,4,2.0
12,6,2.0,2,-1.0,4,4.0
14,7,1.0,2,-1.0,4,6.0
16,8,2.0,2,1.0,5,6.0
18,9,3.0,2,1.0,6,6.0
20,10,4.0,2,1.0,7,6.0
24,12,6.0,2,1.0,9,6.0
28,14,8.0,2,1.0,11,6.0
34,17,11.0,2,1.0,14,6.0
40,20,14.0,2,1.0,17,6.0
50,25,17.0,2,1.0,21,8.0
60,30,20.0,2,1.0,25,10.0
80,40,28.0,2,1.0,34,12.0
100,50,38.0,2,1.0,44,12.0
120,60,48.0,2,1.0,54,12.0
140,70,58.0,2,1.0,64,12.0
160,80,68.0,2,1.0,74,12.0
180,90,78.0,2,1.0,84,12.0
200,100,86.0,2,1.0,93,14.0
240,120,106.0,2,1.0,113,14.0
280,140,126.0,2,1.0,133,14.0
340,170,156.0,2,1.0,163,14.0
400,200,186.0,2,1.0,193,14.0
500,250,192.0,2,1.0,221,58.0
600,300,184.0,2,-1.0,242,116.0
